title,total_sales,na_sales,pal_sales,other_sales,console,genre,publisher,developer,release_date
NBA Live 06 (Weekly american sales),1.42,1.35,0.05,0.019999999999999796,PS2,Sports,EA Sports,EA Canada,2005-09-26
Monster Jam: Path of Destruction,1.4100000000000001,1.24,0.04,0.13000000000000012,"DS, PS3, PSN, PSP, Wii, X360",Racing,Activision,Virtuos,2010-11-09
Major League Baseball 2K10,1.4100000000000001,1.19,0.09,0.13000000000000012,"DS, PC, PS2, PS3, PSN, PSP, Wii, X360",Sports,2K Sports,Visual Concepts,2010-03-01
Battlefield 2: Modern Combat,1.4100000000000001,1.1767669172932331,0.19082706766917296,0.042406015037593996,"PS2, X360, XB, XBL",Shooter,Electronic Arts,Digtal Illusions,2005-10-24
Manhunt 2,1.4100000000000001,0.56,0.62,0.22999999999999998,"PC, PS2, PSN, PSP, Wii",Action,Rockstar Games,Rockstar London,2007-10-29
F1 2009,1.4100000000000001,0.22999999999999998,0.9099999999999999,0.27000000000000024,"PC, PS3, PSN, PSP, Wii, X360",Racing,Codemasters,Sumo Digital,2009-11-17
Dreamworks Madagascar Kartz,1.41,0.87,0.4,0.1399999999999999,"DS, PS3, Wii, X360",Racing,Activision,Sidhe Interactive,2009-10-27
EA Sports UFC 3,1.41,0.7152173913043478,0.5210869565217392,0.17369565217391306,"PS4, XOne",Sports,EA Sports,EA Vancouver,2018-02-02
Twisted Metal: Black,1.41,1.19,0.17,0.050000000000000044,"PS2, PS4",Racing,Sony Computer Entertainment,Incognito Inc.,2001-06-18
Hello Kitty Party,1.41,0.78,0.51,0.11999999999999988,DS,Misc,Majesco,Barnstorm Games,2009-11-23
Prince of Persia: The Two Thrones,1.41,1.01,0.27,0.1299999999999999,"GC, PC, PS2, XB",Adventure,Ubisoft,Ubisoft Montreal,2005-12-01
Destroy All Humans!,1.4,1.12,0.14,0.13999999999999968,"PC, PS2, PS4, Series, XB, XBL, XOne",Adventure,THQ,Pandemic Studios,2005-06-21
Drawn to Life: The Next Chapter,1.4,0.72,0.53,0.1499999999999999,"DS, Wii",Puzzle,THQ,Planet Moon Studios,2009-10-27
2Xtreme,1.4,1.15,0.2,0.050000000000000044,"PS, PSN",Sports,Sony Computer Entertainment,SCEA,1996-10-31
Anno 2070,1.4,0.21199900942952637,1.14,0.04800099057047359,PC,Strategy,Ubisoft,Blue Byte Studio,2011-11-17
Sonic Advance 3,1.4,0.74,0.52,0.14,GBA,Platform,THQ,Dimps Corporation / Sonic Team,2004-06-07
Monopoly Streets,1.4,0.55,0.6799999999999999,0.16999999999999993,"PS3, PSN, Wii, X360",Misc,Electronic Arts,Electronic Arts,2010-10-26
The Biggest Loser,1.3900000000000001,1.04,0.22999999999999998,0.1200000000000001,"DS, Wii",Sports,THQ,Blitz Games,2009-10-06
Teenage Mutant Ninja Turtles III: The Manhattan Project,1.39,1.05,0.17,0.16999999999999998,NES,Action,Konami,Konami,1992-02-01
Hot Wheels Turbo Racing,1.3800000000000001,0.84,0.46,0.08000000000000007,"N64, PS",Racing,Electronic Arts,Stormfront Studios,1999-09-22
MotorStorm: Arctic Edge,1.3800000000000001,0.278421052631579,0.7384210526315791,0.3631578947368421,"PS2, PSN, PSP",Racing,Sony Computer Entertainment,Bigbig Studios,2009-09-29
LittleBigPlanet PS Vita,1.38,0.36,0.69,0.33,PSV,Platform,Sony Computer Entertainment,Media Molecule,2012-09-25
Duke Nukem: Time to Kill,1.38,0.77,0.54,0.06999999999999984,PS,Shooter,GT Interactive,n-Space,1998-09-30
